title,year,authors,venue,citation_count,openalex_id,doi,url,open_access_pdf,concepts,type,is_oa,abstract
"Practical, epistemic and normative implications of algorithmic bias in healthcare artificial intelligence: a qualitative study of multidisciplinary expert perspectives",2023,Yves Saint James Aquino; Stacy M. Carter; Nehmat Houssami; Annette Braunack‐Mayer; Khin Than Win; Chris Degeling; Lei Wang; Wendy Rogers,Journal of Medical Ethics,43,W4321610264,10.1136/jme-2022-108850,https://openalex.org/W4321610264,https://jme.bmj.com/content/medethics/early/2023/02/22/jme-2022-108850.full.pdf,Health care; Normative; Inclusion (mineral); Multidisciplinary approach; Psychology,article,True,"Background There is a growing concern about artificial intelligence (AI) applications in healthcare that can disadvantage already under-represented and marginalised groups (eg, based on gender or race). Objectives Our objectives are to canvas the range of strategies stakeholders endorse in attempting to mitigate algorithmic bias, and to consider the ethical question of responsibility for algorithmic bias. Methodology The study involves in-depth, semistructured interviews with healthcare workers, screening programme managers, consumer health representatives, regulators, data scientists and developers. Results Findings reveal considerable divergent views on three key issues. First, views on whether bias is a problem in healthcare AI varied, with most participants agreeing bias is a problem (which we call the bias-critical view), a small number believing the opposite (the bias-denial view), and some arguing that the benefits of AI outweigh any harms or wrongs arising from the bias problem (the bias-apologist view). Second, there was a disagreement on the strategies to mitigate bias, and who is responsible for such strategies. Finally, there were divergent views on whether to include or exclude sociocultural identifiers (eg, race, ethnicity or gender-diverse identities) in the development of AI as a way to mitigate bias. Conclusion/significance Based on the views of participants, we set out responses that stakeholders might pursue, including greater interdisciplinary collaboration, tailored stakeholder engagement activities, empirical studies to understand algorithmic bias and strategies to modify dominant approaches in AI development such as the use of participatory methods, and increased diversity and inclusion in research teams and research participant recruitment and selection."
Data’s Impact on Algorithmic Bias,2023,Donghee Shin; Emily Y. Shin,Computer,16,W4377818787,10.1109/mc.2023.3262909,https://openalex.org/W4377818787,https://ieeexplore.ieee.org/ielx7/2/10132019/10132055.pdf,Computer science; Column (typography); Artificial intelligence; Machine learning; Algorithm,article,True,"Algorithmic bias refers to systematic and structured errors in an artificial intelligence system that generate unfair results and inequalities. This column discusses how bias in algorithms appears, amplifies over time, and shapes people's thinking, potentially leading to discrimination."
Disambiguating Algorithmic Bias: From Neutrality to Justice,2023,Elizabeth Edenberg; Alexandra Wood,,20,W4386242313,10.1145/3600211.3604695,https://openalex.org/W4386242313,https://doi.org/10.1145/3600211.3604695,Neutrality; Injustice; Prejudice (legal term); Implicit bias; Economic Justice,article,True,"As algorithms have become ubiquitous in consequential domains, societal concerns about the potential for discriminatory outcomes have prompted urgent calls to address algorithmic bias. In response, a rich literature across computer science, law, and ethics is rapidly proliferating to advance approaches to designing fair algorithms. Yet computer scientists, legal scholars, and ethicists are often not speaking the same language when using the term 'bias.' Debates concerning whether society can or should tackle the problem of algorithmic bias are hampered by conflations of various understandings of bias, ranging from neutral deviations from a standard to morally problematic instances of injustice due to prejudice, discrimination, and disparate treatment. This terminological confusion impedes efforts to address clear cases of discrimination."
Misinformation and Algorithmic Bias,2024,Donghee Shin,,12,W4393191699,10.1007/978-3-031-52569-8_2,https://openalex.org/W4393191699,,Misinformation; Internet privacy; Computer science; Computer security; Psychology,book-chapter,False,
Navigating algorithm bias in AI: ensuring fairness and trust in Africa,2024,Notice Pasipamire; Abton Muroyiwa,Frontiers in Research Metrics and Analytics,20,W4403745416,10.3389/frma.2024.1486600,https://openalex.org/W4403745416,https://doi.org/10.3389/frma.2024.1486600,Transparency (behavior); Compromise; Perspective (graphical); Sustainable development; Public relations,article,True,"This article presents a perspective on the impact of algorithmic bias on information fairness and trust in artificial intelligence (AI) systems within the African context. The author's personal experiences and observations, combined with relevant literature, formed the basis of this article. The authors demonstrate why algorithm bias poses a substantial challenge in Africa, particularly regarding fairness and the integrity of AI applications. This perspective underscores the urgent need to address biases that compromise the fairness of information dissemination and undermine public trust. The authors advocate for the implementation of strategies that promote inclusivity, enhance cultural sensitivity, and actively engage local communities in the development of AI systems. By prioritizing ethical practices and transparency, stakeholders can mitigate the risks associated with bias, thereby fostering trust and ensuring equitable access to technology. Additionally, the article explores the potential consequences of inaction, including exacerbated social disparities, diminished confidence in public institutions, and economic stagnation. Ultimately, this work argues for a collaborative approach to AI that positions Africa as a leader in responsible development, ensuring that technology serves as a catalyst for sustainable development and social justice."
Auditing Work: Exploring the New York City algorithmic bias audit regime,2024,Lara Groves; Jacob Metcalf; Alayna Kennedy; Briana Vecchione; Andrew Strait,,30,W4399362708,10.1145/3630106.3658959,https://openalex.org/W4399362708,https://dl.acm.org/doi/pdf/10.1145/3630106.3658959,Audit; Work (physics); Computer science; Accounting; Business,article,True,"In July 2023, New York City (NYC) implemented the first attempt to create an algorithm auditing regime for commercial machine-learning systems. Local Law 144 (LL 144), requires NYC-based employers using automated employment decision-making tools (AEDTs) in hiring to be subject to annual bias audits by an independent auditor. In this paper, we analyse what lessons can be learned from LL 144 for other national attempts to create algorithm auditing regimes. Using qualitative interviews with 17 experts and practitioners working within the regime, we find LL 144 has failed to create an effective auditing regime: the law fails to clearly define key aspects like AEDTs and what constitutes an independent auditor, leaving auditors, vendors who create AEDTs, and companies using AEDTs to define the law's practical implementation in ways that failed to protect job applicants. Several factors contribute to this: first, the law was premised on a faulty transparency-driven theory of change that fails to stop biased AEDTs from being used by employers. Second, industry lobbying led to the definition of what constitutes an AEDT being narrowed to the point where most companies considered their tools exempt. Third, we find auditors face enormous practical and cultural challenges gaining access to data from employers and vendors building these tools. Fourth, we find wide disagreement over what constitutes a legitimate auditor and identify four different kinds of 'auditor roles' that serve different functions and offer different kinds of services. We conclude with four recommendations for policymakers seeking to create similar bias auditing regimes that use clearer definitions and metrics and more accountability. By exploring LL 144 through the lens of auditors, our paper advances the evidence base around audit as an accountability mechanism, and can provide guidance for policymakers seeking to create similar regimes."
Algorithmic bias in artificial intelligence is a problem—And the root issue is power,2023,Rae Walker; Jess Dillard‐Wright; Favorite Iradukunda,Nursing Outlook,25,W4385788498,10.1016/j.outlook.2023.102023,https://openalex.org/W4385788498,http://www.nursingoutlook.org/article/S0029655423001288/pdf,Injustice; Health care; Power (physics); Root (linguistics); Curriculum,article,True,"Its neither feasible nor just to expect individual nurses to counter systemic injustice in health care through individual actions, more technocentric curricula, or industry partnerships. We need disciplinary supports for collective action to renegotiate power for AI tech."
ALGORITHMIC BIAS IN LAW: THE DISCRIMINATORY POTENTIAL AND LEGAL LIABILITY OF AI-BASED DECISION SUPPORT SYSTEMS,2024,Abdulmecit Nuredin,,25,W4414126478,10.55843/isc2024conf105n,https://openalex.org/W4414126478,,,article,False,"This study examines the impact of artificial intelligence (AI)-based algorithmic decision-making systems on human rights through a multidimensional legal and empirical approach. Specifically, it evaluates the structural inequalities resulting from algorithmic bias in critical sectors such as criminal justice, social rights, public services, and private sector operations. Through content analysis and comparative case studies, the article investigates a range of international examples— including the COMPAS and PredPol systems in the United States, the SyRI and Ofqual algorithms in Europe, and immigration and welfare tools deployed in countries like Canada and Australia. The article is structured into four main sections. First, it explores how algorithmic systems operate based on biased datasets and the implications of such processes for marginalized social groups. The second section discusses how algorithmic tools have contributed to the reproduction of inequality in public service delivery. The third section analyzes how AI technologies used in education, healthcare, and immigration procedures may yield outcomes that conflict with fundamental human rights. Lastly, the article focuses on digital discrimination in the private sector and the emerging threats to consumer protection and equality. The study argues that algorithmic justice is not merely a technical challenge but also an ethical, legal, and institutional one. In its concluding section, the article proposes holistic solutions such as fair machine learning practices, principles of algorithmic transparency, mandatory ethical impact assessments, and the establishment of independent oversight bodies. The findings underscore the need for a multidisciplinary, normatively grounded, and transparent governance framework to ensure that algorithmic systems are designed and implemented in accordance with international human rights standards."
Investigating algorithmic bias in student progress monitoring,2024,Jamiu Adekunle Idowu; Adriano Koshiyama; Philip Treleaven,Computers and Education Artificial Intelligence,15,W4400767613,10.1016/j.caeai.2024.100267,https://openalex.org/W4400767613,https://doi.org/10.1016/j.caeai.2024.100267,Computer science; Learning analytics; Grading (engineering); Analytics; Data science,article,True,"This research investigates bias in AI algorithms used for monitoring student progress, specifically focusing on bias related to age, disability, and gender. The study is motivated by incidents such as the UK A-level grading controversy, which demonstrated the real-world implications of biased algorithms. Using the Open University Learning Analytics Dataset, the research evaluates fairness with metrics like ABROCA, Average Odds Difference, and Equality of Opportunity Difference. The analysis is structured into three experiments. The first experiment examines fairness as an attribute of the data sources and reveals that institutional data is the primary contributor to model discrimination, followed by Virtual Learning Environment data, while assessment data is the least biased. In the second experiment, the research introduces the Optimal Time Index, which pinpoints Day 60 of an average 255-day course as the optimal time for predicting student outcomes, balancing timely interventions, model accuracy, and efficient resource allocation. The third experiment implements bias mitigation strategies throughout the model's life cycle, achieving fairness without compromising accuracy. Finally, this study introduces the Student Progress Card, designed to provide actionable personalized feedback for each student."
Inside the Black Box: Detecting and Mitigating Algorithmic Bias Across Racialized Groups in College Student-Success Prediction,2024,Denisa Gándara; Hadis Anahideh; Matthew P. Ison; Lorenzo Picchiarini,AERA Open,25,W4400485150,10.1177/23328584241258741,https://openalex.org/W4400485150,https://journals.sagepub.com/doi/pdf/10.1177/23328584241258741,Racial bias; Implicit bias; Racism; Psychological intervention; Higher education,article,True,"Colleges and universities are increasingly turning to algorithms that predict college-student success to inform various decisions, including those related to admissions, budgeting, and student-success interventions. Because predictive algorithms rely on historical data, they capture societal injustices, including racism. In this study, we examine how the accuracy of college student success predictions differs between racialized groups, signaling algorithmic bias. We also evaluate the utility of leading bias-mitigating techniques in addressing this bias. Using nationally representative data from the Education Longitudinal Study of 2002 and various machine learning modeling approaches, we demonstrate how models incorporating commonly used features to predict college-student success are less accurate when predicting success for racially minoritized students. Common approaches to mitigating algorithmic bias are generally ineffective at eliminating disparities in prediction outcomes and accuracy between racialized groups."
Artificial Intelligence and Algorithmic Bias,2023,Natasha H. Williams,The International Library of Bioethics,11,W4390476661,10.1007/978-3-031-48262-5_1,https://openalex.org/W4390476661,,Section (typography); Computer science; Artificial intelligence; Applications of artificial intelligence; Health care,book-chapter,False,
ALGORITHMIC BIAS IN AI-ENHANCED EDUCATION: CULTURAL DIMENSIONS AND PEDAGOGICAL IMPACT,2025,Fadil HOCA; Abdulmecit Nuredin,,20,W4414179319,10.55843/isl2025symp163h,https://openalex.org/W4414179319,,,article,False,"Artificial Intelligence, has become a transformative force in education, enabling personalized learning, adaptive assessment, and data-driven pedagogy. Yet, its integration poses significant risks, notably algorithmic—particularly cultural—bias, which can exacerbate systemic inequities. This study analyzes the origins, manifestations, and educational impacts of such bias, drawing on literature from computer science, education, ethics, and law. It highlights how unrepresentative datasets, biased model architectures, and sociocultural blind spots lead to discrimination in assessment, learning recommendations, and resource allocation. Using a critical synthesis of empirical research and policy analysis, supported by international case studies, the study finds that cultural underrepresentation, opaque decision-making, and weak governance frameworks undermine fairness and equity in AI-driven education. Such biases distort performance evaluations, reinforce stereotypes—such as gendered career guidance in STEM— and widen disparities. The paper recommends diverse datasets, transparent and explainable AI (XAI), institutionalized fairness audits, and the integration of ethical AI principles in education. It underscores the role of educators, policymakers, and international bodies in establishing accountability, inclusivity, and cultural adaptability. Achieving equitable AI-supported education demands sustained interdisciplinary collaboration, combining innovation with robust ethical governance."
Automating Automaticity: How the Context of Human Choice Affects the Extent of Algorithmic Bias,2023,Amanda Agan; Diag Davenport; J. Ludwig; Sendhil Mullainathan,,20,W4321366289,10.3386/w30981,https://openalex.org/W4321366289,https://doi.org/10.3386/w30981,Automaticity; Context (archaeology); Computer science; Cognitive psychology; Psychology,report,True,"Consumer choices are increasingly mediated by algorithms, which use data on those past choices to infer consumer preferences and then curate future choice sets.Behavioral economics suggests one reason these algorithms so often fail: choices can systematically deviate from preferences.For example, research shows that prejudice can arise not just from preferences and beliefs, but also from the context in which people choose.When people behave automatically, biases creep in; snap decisions are typically more prejudiced than slow, deliberate ones, and can lead to behaviors that users themselves do not consciously want or intend.As a result, algorithms trained on automatic behaviors can misunderstand the prejudice of users: the more automatic the behavior, the greater the error.We empirically test these ideas in a lab experiment, and find that more automatic behavior does indeed seem to lead to more biased algorithms.We then explore the large-scale consequences of this idea by carrying out algorithmic audits of Facebook in its two biggest markets, the US and India, focusing on two algorithms that differ in how users engage with them: News Feed (people interact with friends' posts fairly automatically) and People You May Know (people choose friends fairly deliberately).We find significant out-group bias in the News Feed algorithm (e.g., whites are less likely to be shown Black friends' posts, and Muslims less likely to be shown Hindu friends' posts), but no detectable bias in the PYMK algorithm.Together, these results suggest a need to rethink how large-scale algorithms use data on human behavior, especially in online contexts where so much of the measured behavior might be quite automatic."
Are algorithms biased in education? Exploring racial bias in predicting community college student success,2024,Kelli Bird; Benjamin Castleman; Yifeng Song,Journal of Policy Analysis and Management,14,W4391402561,10.1002/pam.22569,https://openalex.org/W4391402561,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/pam.22569,Racial bias; Community college; Psychology; Computer science; Implicit bias,article,True,"Abstract Predictive analytics are increasingly pervasive in higher education. However, algorithmic bias has the potential to reinforce racial inequities in postsecondary success. We provide a comprehensive and translational investigation of algorithmic bias in two separate prediction models—one predicting course completion, the second predicting degree completion. We show that if either model were used to target additional supports for “at‐risk” students, then the algorithmic bias would lead to fewer marginal Black students receiving these resources. We also find the magnitude of algorithmic bias varies within the distribution of predicted success. With the degree completion model, the amount of bias is over 5 times higher when we define at‐risk using the bottom decile than when we focus on students in the bottom half of predicted scores; in the course completion model, the reverse is true. These divergent patterns emphasize the contextual nature of algorithmic bias and attempts to mitigate it. Our results moreover suggest that algorithmic bias is due in part to currently‐available administrative data being relatively less useful at predicting Black student success, particularly for new students; this suggests that additional data collection efforts have the potential to mitigate bias."
Enhancing children’s understanding of algorithmic biases in and with text-to-image generative AI,2024,Henriikka Vartiainen; Juho Kahila; Matti Tedre; Sonsoles López‐Pernas; Nicolas Pope,New Media & Society,13,W4397034407,10.1177/14614448241252820,https://openalex.org/W4397034407,https://journals.sagepub.com/doi/pdf/10.1177/14614448241252820,Generative grammar; Image (mathematics); Computer science; Generative model; Psychology,article,True,"Despite the growing concerns surrounding algorithmic biases in generative AI (artificial intelligence), there is a noticeable lack of research on how to facilitate children and young people’s awareness and understanding of them. This study aimed to address this gap by conducting hands-on workshops with fourth- and seventh-grade students in Finland, and by focusing on students’ ( N = 209) evolving explanations of the potential causes of algorithmic biases within text-to-image generative models. Statistically significant progress in children’s data-driven explanations was observed on a written reasoning test, which was administered prior to and after the intervention, as well as in their responses to the worksheets they filled out during a lesson that focused on algorithmic biases. The article concludes with a discussion on the development and facilitation of children’s understanding of algorithmic biases."
Trapped in the search box: An examination of algorithmic bias in search engine autocomplete predictions,2023,Cong Lin; Yuxin Gao; Na Ta; Kaiyu Li; Hongyao Fu,Telematics and Informatics,12,W4388010320,10.1016/j.tele.2023.102068,https://openalex.org/W4388010320,,Computer science; Search engine; Disadvantaged; Black box; Debiasing,article,False,
